UID,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
3919,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",10/6/2016,15:36:00,New Shepard,NS-6 (Inflight Escape Test),Active,,Success
3920,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",10/16/2016,23:30:00,Long March 2F/G,Shenzhou 11,Active,,Success
3921,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",10/17/2016,23:45:00,Antares 230,CRS OA-5,Retired,85,Success
3922,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10/19/2016,8:05:00,Soyuz FG,Soyuz MS-02,Retired,,Success
3923,MHI,"LA-Y1, Tanegashima Space Center, Japan",11/2/2016,6:20:00,H-IIA 202,Himawari 9,Active,90,Success
3924,CASC,"LC-101, Wenchang Satellite Launch Center, China",11/3/2016,12:42:00,Long March 5/YZ-2,Shijian-17,Active,,Success
3925,CASC,"Site 95, Jiuquan Satellite Launch Center, China",11/9/2016,23:42:00,Long March 11,"XPNAV 1, Xiaoxiang 1 & Others",Active,5.3,Success
3926,ULA,"SLC-3E, Vandenberg AFB, California, USA",11/11/2016,18:30:00,Atlas V 401,WorldView-4,Active,109,Success
3927,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",11/11/2016,23:14:00,Long March 2D,Yunhai-1,Active,29.75,Success
3928,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",11/17/2016,13:06:00,Ariane 5 ES,Galileo FOC FM7/FM12-FM14,Retired,,Success
3929,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/17/2016,20:20:00,Soyuz FG,Soyuz MS-03,Retired,,Success
3930,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",11/19/2016,23:42:00,Atlas V 541,GOES-R (GOES-16),Active,145,Success
3931,CASC,"LC-2, Xichang Satellite Launch Center, China",11/22/2016,15:24:00,Long March 3C/E,Tianlian I-04,Active,20,Success
3932,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/1/2016,14:52:00,Soyuz U,Progress MS-04,Retired,,Failure
3933,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",12/5/2016,13:51:00,Vega,G??kt??rk-1A,Active,37,Success
3934,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",12/7/2016,4:54:00,PSLV-XL,Resourcesat-2A,Active,31,Success
3935,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",12/7/2016,23:53:00,"Delta IV Medium+ (5,4)",WGS-8,Retired,,Success
3936,MHI,"LA-Y2, Tanegashima Space Center, Japan",12/9/2016,13:26:00,H-IIB,HTV-6,Retired,112.5,Success
3937,CASC,"LC-3, Xichang Satellite Launch Center, China",12/10/2016,16:11:00,Long March 3B/E,Fengyun 4A,Active,29.15,Success
3938,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",12/15/2016,13:37:00,Pegasus XL,CYGNSS,Active,40,Success
3939,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",12/18/2016,19:13:00,Atlas V 431,EchoStar 19,Retired,130,Success
3940,JAXA,"Mu Pad, Uchinoura Space Center, Japan",12/20/2016,11:00:00,Epsilon,ERG,Active,,Success
3941,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",12/21/2016,19:22:00,Long March 2D,"TanSat & Spark 1, 2",Active,29.75,Success
3942,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/21/2016,20:30:00,Ariane 5 ECA,"Star One D1, JCSAT-15",Active,200,Success
3943,CASC,"LC-9, Taiyuan Satellite Launch Center, China",12/28/2016,3:23:00,Long March 2D,"SuperView-1 1, 2 & Bayi Kepu 1",Active,29.75,Partial Failure
3944,CASC,"LC-2, Xichang Satellite Launch Center, China",1/5/2017,15:18:00,Long March 3B/E,TJS 2,Active,29.15,Success
3945,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",1/9/2017,4:11:00,Kuaizhou 1A,"Jilin-1 03, Caton-1 & Xingyun Shiyan 1",Active,5.8,Success
3946,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",1/14/2017,17:54:00,Falcon 9 Block 3,Iridium-1,Retired,62,Success
3947,JAXA,"Uchinoura Space Center, Japan",1/14/2017,23:33:00,SS-520,TRICOM-1,Active,,Failure
3948,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",1/21/2017,0:42:00,Atlas V 401,SBIRS GEO-3,Active,109,Success
3949,MHI,"LA-Y1, Tanegashima Space Center, Japan",1/24/2017,7:44:00,H-IIA 204,DSN-2,Active,,Success
